[['A'], ['m2'], ['G C']]
[['F'], ['m3'], ['C E']]
[['F'], ['m3'], ['E A']]
[['F'], ['M3'], ['G C']]
[['F'], ['M3'], ['C E']]
[['F'], ['M3'], ['E A']]
[['F'], ['P4'], ['G C']]
[['F'], ['P4'], ['C E']]
[['F'], ['P4'], ['E A']]
[['F'], ['A4'], ['G C']]
[['F'], ['A4'], ['C E']]
[['F'], ['A4'], ['E A']]
[['F'], ['d5'], ['G C']]
[['F'], ['d5'], ['C E']]
[['F'], ['d5'], ['E A']]
[['F'], ['P5'], ['G C']]
[['F'], ['P5'], ['C E']]
[['F'], ['P5'], ['E A']]
[['F'], ['m6'], ['G C']]
[['F'], ['m6'], ['C E']]
[['F'], ['m6'], ['E A']]
[['F'], ['M6'], ['G C']]
[['F'], ['M6'], ['C E']]
[['F'], ['M6'], ['E A']]
[['F'], ['m7'], ['G C']]
[['F'], ['m7'], ['C E']]
[['F'], ['m7'], ['E A']]
[['F'], ['M7'], ['G C']]
[['F'], ['M7'], ['C E']]
[['F'], ['M7'], ['E A']]
[['G'], ['m2'], ['G C']]
[['G'], ['m2'], ['C E']]
[['G'], ['m2'], ['E A']]
[['G'], ['M2'], ['G C']]
[['G'], ['M2'], ['C E']]
[['G'], ['M2'], ['E A']]
[['G'], ['m3'], ['G C']]
[['G'], ['m3'], ['C E']]
[['G'], ['m3'], ['E A']]
[['G'], ['M3'], ['G C']]
[['G'], ['M3'], ['C E']]
[['G'], ['M3'], ['E A']]
[['G'], ['P4'], ['G C']]
[['G'], ['P4'], ['C E']]
[['G'], ['P4'], ['E A']]
[['G'], ['A4'], ['G C']]
[['G'], ['A4'], ['C E']]
[['G'], ['A4'], ['E A']]
[['G'], ['d5'], ['G C']]
[['G'], ['d5'], ['C E']]
[['G'], ['d5'], ['E A']]
[['G'], ['P5'], ['G C']]
[['G'], ['P5'], ['C E']]
[['G'], ['P5'], ['E A']]
[['G'], ['m6'], ['G C']]
[['G'], ['m6'], ['C E']]
[['G'], ['m6'], ['E A']]
[['G'], ['M6'], ['G C']]
[['G'], ['M6'], ['C E']]
[['G'], ['M6'], ['E A']]
[['G'], ['m7'], ['G C']]
[['G'], ['m7'], ['C E']]
[['G'], ['m7'], ['E A']]
[['G'], ['M7'], ['G C']]
[['G'], ['M7'], ['C E']]
[['G'], ['M7'], ['E A']]
